Exporter,Importer,Year,Quantity
Angola,Austria,1990,127816
Angola,Belgium/Luxembourg,1990,136994
Angola,Bulgaria,1990,18220
Angola,Cyprus,1990,3399
Angola,Czechia,1990,44803
Angola,Denmark,1990,65199
Angola,Finland,1990,74446
Angola,France,1990,428386
Angola,Germany,1990,929449
Angola,Greece,1990,43647
Angola,Hungary,1990,39024
Angola,Ireland,1990,8770
Angola,Italy,1990,356387
Angola,Malta,1990,1427
Angola,Netherlands,1990,212663
Angola,Poland,1990,29574
Angola,Portugal,1990,37528
Angola,Romania,1990,30050
Angola,Spain,1990,207564
Angola,Sweden,1990,120133
Angola,Japan,1990,362370
Angola,Norway,1990,50446
Angola,Switzerland,1990,79613
Angola,Tunisia,1990,6866
Angola,United Kingdom,1990,197026
Angola,United States of America,1990,1428200
Bolivia (Plurinational State of),Austria,1990,237372
Bolivia (Plurinational State of),Belgium/Luxembourg,1990,254417
Bolivia (Plurinational State of),Bulgaria,1990,33838
Bolivia (Plurinational State of),Cyprus,1990,6313
Bolivia (Plurinational State of),Czechia,1990,83206
Bolivia (Plurinational State of),Denmark,1990,121084
Bolivia (Plurinational State of),Finland,1990,138256
Bolivia (Plurinational State of),France,1990,795573
Bolivia (Plurinational State of),Germany,1990,1726118
Bolivia (Plurinational State of),Greece,1990,81059
Bolivia (Plurinational State of),Hungary,1990,72473
Bolivia (Plurinational State of),Ireland,1990,16287
Bolivia (Plurinational State of),Italy,1990,661862
Bolivia (Plurinational State of),Malta,1990,2651
Bolivia (Plurinational State of),Netherlands,1990,394946
Bolivia (Plurinational State of),Poland,1990,54923
Bolivia (Plurinational State of),Portugal,1990,69696
Bolivia (Plurinational State of),Romania,1990,55807
Bolivia (Plurinational State of),Spain,1990,385476
Bolivia (Plurinational State of),Sweden,1990,223104
Bolivia (Plurinational State of),Japan,1990,672973
Bolivia (Plurinational State of),Norway,1990,93685
Bolivia (Plurinational State of),Switzerland,1990,147852
Bolivia (Plurinational State of),Tunisia,1990,12752
Bolivia (Plurinational State of),United Kingdom,1990,365906
Bolivia (Plurinational State of),United States of America,1990,2652371
Brazil,Austria,1990,25769989
Brazil,Belgium/Luxembourg,1990,27620494
Brazil,Bulgaria,1990,3673594
Brazil,Cyprus,1990,685372
Brazil,Czechia,1990,9033203
Brazil,Denmark,1990,13145435
Brazil,Finland,1990,15009648
Brazil,France,1990,86370585
Brazil,Germany,1990,187394423
Brazil,Greece,1990,8800176
Brazil,Hungary,1990,7868071
Brazil,Ireland,1990,1768259
Brazil,Italy,1990,71854405
Brazil,Malta,1990,287856
Brazil,Netherlands,1990,42876875
Brazil,Poland,1990,5962736
Brazil,Portugal,1990,7566507
Brazil,Romania,1990,6058688
Brazil,Spain,1990,41848817
Brazil,Sweden,1990,24221048
Brazil,Japan,1990,73060660
Brazil,Norway,1990,10170921
